"SA1","Total population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1104116,405,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104117,246,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1104118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104119,433,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1104120,421,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1104121,371,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104122,290,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104123,392,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1104124,423,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1104125,460,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1104201,470,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1104202,504,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1
1104203,291,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1104204,406,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104205,484,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104207,527,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1104208,485,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1
1104209,244,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104210,440,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1104211,425,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1104212,11,NA,1,NA,3,NA,2,NA,1,NA,NA,NA,1
