"SA1","Total Persons","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1104033,400,NA,2,NA,2,NA,2,NA,1,NA,2,NA,1
1104034,530,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104035,334,NA,1,NA,2,NA,3,NA,1,NA,1,NA,2
1104036,382,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104037,298,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104038,340,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104039,613,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1104040,379,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1104041,257,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104042,410,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104043,511,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1104044,304,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104045,468,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104046,458,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104047,468,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1104048,491,NA,2,NA,1,NA,2,NA,1,NA,2,NA,1
1104049,490,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104050,347,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104051,478,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1104052,394,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2
1104053,517,NA,2,NA,1,NA,2,NA,1,NA,1,NA,1
1104054,362,NA,2,NA,3,NA,2,NA,1,NA,3,NA,3
1104055,552,NA,2,NA,1,NA,1,NA,1,NA,3,NA,2
1104056,382,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1104057,627,NA,3,NA,1,NA,3,NA,1,NA,3,NA,2
1104058,337,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104101,494,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1104102,631,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1104103,378,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1104104,426,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104105,356,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104106,421,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104107,262,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1104108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104109,396,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1104110,467,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1104111,256,NA,1,NA,2,NA,1,NA,1,NA,3,NA,3
1104112,483,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1104113,353,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1104114,576,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1104115,350,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1104116,424,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104117,270,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1104118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104119,458,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1104120,428,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1104121,659,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104122,308,NA,1,NA,1,NA,1,NA,1,NA,3,NA,1
1104123,432,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104124,451,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104125,459,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1104201,507,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104202,538,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104203,270,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1104204,409,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104205,530,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104207,544,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
