"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2111306,660,NA,2,NA,1,NA,2,NA,3,NA,2,NA,3
2111307,1252,NA,3,NA,1,NA,3,NA,2,NA,1,NA,1
2111308,363,NA,2,NA,3,NA,3,NA,3,NA,3,NA,2
2111309,406,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111310,275,NA,1,NA,2,NA,2,NA,2,NA,3,NA,3
2111311,654,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2111312,535,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111313,401,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111314,390,NA,1,NA,2,NA,2,NA,2,NA,3,NA,1
2111315,444,NA,2,NA,2,NA,3,NA,3,NA,1,NA,1
2111316,422,NA,3,NA,3,NA,1,NA,1,NA,1,NA,3
2111317,536,NA,3,NA,2,NA,1,NA,1,NA,1,NA,1
2111318,331,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1
2111319,546,NA,3,NA,2,NA,3,NA,1,NA,2,NA,1
2111320,386,NA,2,NA,2,NA,1,NA,2,NA,1,NA,2
2111321,449,NA,2,NA,1,NA,1,NA,1,NA,1,NA,1
2111322,363,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2111323,388,NA,2,NA,2,NA,3,NA,2,NA,3,NA,2
2111324,553,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2111325,384,NA,1,NA,2,NA,2,NA,3,NA,3,NA,1
2111326,455,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2111327,547,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111328,430,NA,2,NA,2,NA,1,NA,3,NA,3,NA,1
2111329,249,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2111330,328,NA,1,NA,2,NA,3,NA,3,NA,3,NA,2
2111331,344,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2111332,278,NA,2,NA,3,NA,2,NA,1,NA,1,NA,2
2111401,234,NA,2,NA,3,NA,2,NA,3,NA,2,NA,1
2111402,576,NA,3,NA,1,NA,3,NA,2,NA,3,NA,2
2111403,399,NA,2,NA,3,NA,2,NA,2,NA,3,NA,3
2111404,427,NA,2,NA,2,NA,3,NA,2,NA,3,NA,3
2111405,404,NA,2,NA,3,NA,3,NA,2,NA,3,NA,3
2111406,550,NA,1,NA,1,NA,2,NA,2,NA,3,NA,3
2111407,612,NA,3,NA,1,NA,2,NA,2,NA,3,NA,3
2111408,422,NA,2,NA,2,NA,3,NA,3,NA,3,NA,2
2111409,603,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111410,579,NA,2,NA,1,NA,2,NA,3,NA,3,NA,3
2111411,283,NA,1,NA,3,NA,1,NA,2,NA,3,NA,2
2111412,383,NA,2,NA,3,NA,2,NA,2,NA,2,NA,2
2111413,694,NA,3,NA,2,NA,2,NA,2,NA,3,NA,3
2111414,568,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111415,240,NA,1,NA,3,NA,2,NA,3,NA,3,NA,2
2111416,372,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111417,399,NA,1,NA,1,NA,1,NA,2,NA,3,NA,1
2111418,408,NA,2,NA,2,NA,1,NA,3,NA,2,NA,3
2111419,279,NA,1,NA,1,NA,2,NA,3,NA,1,NA,1
2111420,352,NA,1,NA,2,NA,1,NA,2,NA,3,NA,2
2111421,487,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111422,317,NA,1,NA,2,NA,1,NA,2,NA,2,NA,2
